"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.093074167E0,-3.684083819E-1,1.241907254E-1,-5.048230886E-1
2.103031167E0,-4.026840925E-1,2.061317563E-1,-5.193750858E-1
2.112988167E0,-4.728594720E-1,3.003951609E-1,-5.226222873E-1
2.122945167E0,-5.507774949E-1,3.583779931E-1,-5.234292746E-1
2.132902167E0,-6.012385488E-1,3.723095357E-1,-5.351945758E-1
2.142859167E0,-6.342536211E-1,3.277438581E-1,-5.677003264E-1
2.152816167E0,-6.498621106E-1,2.622165084E-1,-6.110781431E-1
2.162773167E0,-6.490571499E-1,2.015051991E-1,-6.524029970E-1
2.172730167E0,-6.386747956E-1,1.742432117E-1,-6.802881360E-1
2.182687167E0,-6.000675559E-1,1.658177674E-1,-7.065936923E-1
2.192644167E0,-5.522227883E-1,1.483072042E-1,-7.277562022E-1
2.202601167E0,-5.342316628E-1,1.366374046E-1,-7.182453871E-1
2.212558167E0,-5.380114913E-1,1.003113538E-1,-6.891471744E-1
2.222515167E0,-5.394456387E-1,6.652286649E-2,-6.408933997E-1
2.232473167E0,-5.418856144E-1,5.752777308E-2,-5.886243582E-1
2.242430167E0,-5.482650399E-1,3.444959223E-2,-5.521339178E-1
2.252387167E0,-5.506019592E-1,7.880565710E-3,-5.211911798E-1
2.262344167E0,-5.554974675E-1,-3.378474154E-3,-5.025031567E-1
2.272302042E0,-5.446549654E-1,-1.102867071E-2,-4.867950082E-1
2.282259042E0,-5.067829490E-1,-1.550560538E-2,-4.712120891E-1
2.292216042E0,-4.474126101E-1,-3.623458743E-2,-4.536424279E-1
2.302173042E0,-3.897966146E-1,-7.238635421E-2,-4.434674382E-1
2.312130042E0,-3.566618264E-1,-1.079579294E-1,-4.029468894E-1
2.322087042E0,-3.483892679E-1,-1.288542449E-1,-3.496385515E-1
2.332044042E0,-3.466904163E-1,-1.464526802E-1,-2.982459366E-1
2.342001042E0,-3.455399275E-1,-1.369398236E-1,-2.515524030E-1
2.351958042E0,-3.435345590E-1,-1.230469123E-1,-2.140910327E-1
2.361915042E0,-3.223968744E-1,-9.793693572E-2,-1.764171571E-1
2.371872042E0,-2.809636593E-1,-6.813909113E-2,-1.455388665E-1
2.381829042E0,-2.161979079E-1,-5.366696417E-2,-1.318098307E-1
2.391786042E0,-1.345866621E-1,-7.063396275E-2,-9.581480920E-2
2.401743042E0,-4.368434101E-2,-9.280204773E-2,-4.480671883E-2
2.411700042E0,5.640283972E-2,-1.030245945E-1,3.436443629E-3
2.421657042E0,1.508517861E-1,-8.290913701E-2,5.659143254E-2
2.431614042E0,2.170289457E-1,-2.156721987E-2,1.254123151E-1
2.441571042E0,2.614428401E-1,4.404076934E-2,1.944833100E-1
2.451528042E0,3.049886823E-1,8.480124921E-2,2.671391368E-1
2.461485042E0,3.360010386E-1,1.159269661E-1,3.439326882E-1
2.471442042E0,3.682495356E-1,1.370466352E-1,4.178098440E-1
2.481399042E0,4.032818377E-1,1.291871518E-1,4.772604406E-1
2.491356042E0,4.533388615E-1,1.004987881E-1,5.105022788E-1
2.501313042E0,4.956066608E-1,8.417143673E-2,5.331041813E-1
2.511270042E0,5.248742700E-1,6.565580517E-2,5.527538061E-1
2.521227042E0,5.583405495E-1,5.029302835E-2,5.726350546E-1
2.531184042E0,5.963198543E-1,4.197011888E-2,5.849806666E-1
2.541141042E0,6.255020499E-1,4.729881883E-2,5.823968053E-1
2.551098042E0,6.402629018E-1,7.389980555E-2,5.697675347E-1
2.561055042E0,6.439835429E-1,1.204620376E-1,5.584029555E-1
2.571012042E0,6.418551803E-1,1.666641682E-1,5.591049194E-1
2.580969042E0,6.509522200E-1,1.818935275E-1,5.764814615E-1
