"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.132810006E0,2.991973162E-1,-4.521914124E-1,3.967992961E-2
3.142761516E0,3.077192008E-1,-4.979964495E-1,-1.797580719E-1
3.152713026E0,3.087844253E-1,-2.849498391E-1,-3.832175732E-1
3.162596412E0,2.704360485E-1,6.018566713E-2,-5.440677404E-1
3.172547974E0,1.862826198E-1,2.306229472E-1,-6.122426987E-1
3.182499485E0,7.762885839E-2,2.402100414E-1,-5.994598866E-1
3.192436776E0,-6.524552125E-3,1.826874614E-1,-5.376763940E-1
3.202388287E0,-3.848154470E-2,9.214265645E-2,-4.428706169E-1
3.212339797E0,-3.422060981E-2,-2.663082443E-3,-3.469996452E-1
3.222266516E0,7.656362653E-2,-3.115806580E-1,-2.937380075E-1
3.232218078E0,2.139786780E-1,-4.607132971E-1,-2.383458912E-1
3.242169589E0,1.904104091E-2,1.059906855E-1,-1.424749196E-1
3.252073131E0,9.360735118E-2,-1.251648813E-1,-1.499315500E-1
3.262024641E0,3.268933892E-1,-3.073197305E-1,-1.403444558E-1
3.271976151E0,2.853493094E-1,5.485950038E-2,-8.495233208E-2
3.281856151E0,2.991973162E-1,1.198387146E-1,-9.134373069E-2
3.291807714E0,4.195686579E-1,7.190322876E-2,-1.158440933E-1
3.301759224E0,5.037220716E-1,1.507304758E-1,-1.275616586E-1
3.311678183E0,5.079829693E-1,2.604494691E-1,-1.691057384E-1
3.321629693E0,4.366123974E-1,3.371462524E-1,-2.426068187E-1
3.331581203E0,3.183715343E-1,3.818860352E-1,-3.033251166E-1
3.341508756E0,2.001306564E-1,3.957340717E-1,-3.022598624E-1
3.351460266E0,9.041165560E-2,3.744294047E-1,-2.671071887E-1
3.361411776E0,-7.682993263E-2,3.392767310E-1,-2.426068187E-1
3.371322506E0,-2.909417748E-1,2.892107666E-1,-2.074541301E-1
3.381274016E0,-4.699009061E-1,2.295577228E-1,-1.446053833E-1
3.391225526E0,-5.796199441E-1,1.070559174E-1,-4.873441160E-2
3.401109641E0,-6.286206245E-1,-1.624480337E-1,5.139749497E-2
3.411061203E0,-6.200987697E-1,-4.276910722E-1,1.195724085E-1
3.421012714E0,-6.169030666E-1,-5.267577171E-1,7.909355313E-2
3.430959328E0,-7.596443295E-1,-6.173025370E-1,4.527240526E-3
3.440910839E0,-9.748213887E-1,-7.994573712E-1,1.121157780E-1
3.450862349E0,-1.146323919E0,-6.045197248E-1,5.117112994E-1
3.460775422E0,-1.198520303E0,5.592473224E-2,1.178547144E0
3.470726985E0,-1.072822809E0,1.784265339E-1,1.801708460E0
3.480678495E0,-8.469933867E-1,-5.416709781E-1,2.147909164E0
3.490583860E0,-5.434020162E-1,-8.111749291E-1,1.976406693E0
3.500535370E0,-3.644428551E-1,-1.794917583E-1,1.203047514E0
3.510486933E0,-2.579195499E-1,4.703003764E-1,2.761616707E-1
3.520369797E0,3.501953557E-2,7.014559507E-1,-3.224993050E-1
3.530321360E0,3.620460629E-1,7.344781756E-1,-6.452649236E-1
3.540272870E0,6.869421601E-1,4.894745648E-1,-1.109706521E0
3.550222297E0,8.541837335E-1,-1.230344176E-1,-1.525147438E0
3.560173808E0,7.977263927E-1,-3.232982159E-1,-1.607170343E0
3.570125370E0,7.625737190E-1,-1.225017942E-2,-1.335535884E0
3.580009745E0,8.573794365E-1,1.507304758E-1,-8.785509467E-1
3.589958599E0,8.520532846E-1,-5.858781748E-3,-4.961322844E-1
