"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.590258599E0,-4.352544308E0,-1.527458382E1,-1.439282775E0
3.600207453E0,-2.958127022E0,-1.270170116E1,-1.794018745E0
3.610108912E0,-1.765304923E0,-1.047398281E1,-1.660020709E0
3.620057818E0,-3.804588020E-1,-8.505288124E0,-1.482353687E0
3.630006620E0,8.219345808E-1,-6.617351055E0,-1.295713425E0
3.639939120E0,1.938186288E0,-4.825725079E0,-9.314061999E-1
3.649887974E0,2.772084951E0,-2.937788010E0,-6.011967063E-1
3.659836881E0,3.256033421E0,-1.069591761E0,-4.713860750E-1
3.669740474E0,3.275176048E0,5.784648657E-1,-7.830511928E-1
3.679689328E0,2.359921217E0,1.929811478E0,-1.252642632E0
3.689638183E0,7.788637877E-1,2.672184706E0,-1.966302037E0
3.699584328E0,-3.038884699E-1,2.864208698E0,-2.636890650E0
3.709533235E0,-1.396211982E0,2.495115757E0,-2.364108801E0
3.719482089E0,-2.191825628E0,1.417149186E0,-1.166501045E0
3.729375787E0,-2.085943222E0,1.764706671E-1,-7.178467698E-3
3.739324693E0,-1.348355532E0,-7.914260626E-1,3.044866920E-1
3.749273495E0,-5.868397355E-1,-1.582253933E0,3.284149170E-1
3.759184693E0,-2.081755698E-1,-2.109273195E0,3.906283081E-1
3.769133547E0,-1.124626622E-1,-2.243271112E0,2.662015259E-1
3.779082453E0,-3.086741269E-1,-2.147558212E0,-1.028913707E-1
3.788996412E0,-8.596215248E-1,-1.859821439E0,-5.096712112E-1
3.798945266E0,-1.415354609E0,-1.452443361E0,-7.926225066E-1
3.808894120E0,-1.928016901E0,-1.222732425E0,-8.835497499E-1
3.818828703E0,-2.177468538E0,-1.380658627E0,-7.926225066E-1
3.828777610E0,-2.172683001E0,-2.094916344E0,-1.333998680E0
3.838726464E0,-2.301895380E0,-3.330809116E0,-2.158325911E0
