"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.266747958E0,1.459786534E0,-2.868949473E-1,1.572544098E0
2.276704958E0,1.423635244E0,-2.020594180E-1,1.576694012E0
2.286661958E0,1.407642722E0,-1.127790660E-1,1.555482268E0
2.296618958E0,1.370843768E0,-1.235621702E-2,1.548300385E0
2.306575958E0,1.319062710E0,3.714795411E-2,1.563030839E0
2.316532958E0,1.271498203E0,-1.224342734E-3,1.605117559E0
2.326490958E0,1.284323215E0,2.604855783E-2,1.629204750E0
2.336447958E0,1.319403768E0,6.260414422E-2,1.633946896E0
2.346404958E0,1.330446482E0,9.770380706E-2,1.635098219E0
2.356361958E0,1.342928767E0,1.354499608E-1,1.647750854E0
2.366318958E0,1.394127607E0,1.385650635E-1,1.620776772E0
2.376275958E0,1.469109058E0,9.839493781E-2,1.611877680E0
2.386232958E0,1.522651672E0,1.556582302E-1,1.574313045E0
2.396189958E0,1.565298200E0,2.109515220E-1,1.508170366E0
2.406146958E0,1.612896323E0,1.529915482E-1,1.468180299E0
2.416104958E0,1.647701025E0,-9.998254478E-3,1.489675879E0
2.426061958E0,1.662218094E0,-1.395575702E-1,1.539107084E0
2.436018958E0,1.701005816E0,-2.143611759E-1,1.588191509E0
2.445975958E0,1.759922385E0,-1.609501541E-1,1.640374064E0
2.455932958E0,1.824986815E0,-8.243206888E-2,1.641714692E0
2.465889958E0,1.867415190E0,-5.973607302E-2,1.646195292E0
2.475846958E0,1.920333624E0,-9.714300931E-2,1.642126203E0
2.485803958E0,1.955605030E0,-1.499159336E-1,1.591771960E0
2.495760958E0,1.949743390E0,-1.419901699E-1,1.543445230E0
2.505718958E0,1.873008966E0,-2.085572034E-1,1.495541930E0
2.515675958E0,1.807421684E0,-2.282279432E-1,1.429345846E0
2.525632958E0,1.701333404E0,-2.303321064E-1,1.339830399E0
2.535589958E0,1.581391215E0,-2.504638135E-1,1.255371809E0
2.545546958E0,1.508042455E0,-2.571510077E-1,1.163525224E0
2.555503958E0,1.444129586E0,-1.968369633E-1,1.070387483E0
2.565460958E0,1.325690031E0,-1.110658571E-1,9.638255835E-1
2.575417958E0,1.205055356E0,-7.489363104E-2,8.373388648E-1
2.585375958E0,1.115015507E0,-8.225248009E-2,6.927180290E-1
2.595332958E0,1.030722976E0,-1.507216692E-1,5.650086999E-1
2.605289958E0,9.342997670E-1,-1.772611290E-1,4.092428386E-1
2.615246958E0,8.255169392E-1,-1.412171572E-1,2.896788120E-1
2.625203958E0,7.113357782E-1,-9.686513245E-2,1.787914187E-1
2.635160958E0,6.022068858E-1,-5.565133691E-2,6.291761994E-2
2.645117958E0,4.830392301E-1,2.478065528E-2,-5.900589004E-2
2.655074958E0,3.315123916E-1,1.023081243E-1,-1.956405938E-1
2.665031958E0,1.493955553E-1,8.974120021E-2,-2.957932949E-1
2.674989958E0,-3.702807799E-2,1.144387387E-2,-3.866540194E-1
2.684946750E0,-2.190839052E-1,-5.511571094E-2,-4.950803518E-1
2.694903750E0,-3.967829049E-1,-3.878713399E-2,-5.932056308E-1
2.704860750E0,-5.704588294E-1,4.743298516E-3,-6.945370436E-1
2.714817750E0,-7.726192474E-1,-2.123901993E-2,-8.083829880E-1
2.724774750E0,-1.017985582E0,-9.281333536E-2,-9.487214684E-1
2.734731750E0,-1.287826777E0,-8.727264404E-2,-1.118638277E0
2.744688750E0,-1.623159051E0,6.541144103E-2,-1.321152806E0
2.754645750E0,-2.158864260E0,4.685498178E-1,-1.554145694E0
2.764603750E0,-2.637374878E0,6.736166477E-1,-1.484117866E0
2.774560750E0,-2.589544535E0,7.578802109E-2,-9.826350212E-1
2.784517750E0,-2.201657057E0,-4.627958238E-1,-5.972639322E-1
2.794474750E0,-1.848609328E0,-8.059951067E-1,-5.491234660E-1
2.804431750E0,-1.836762786E0,-7.967981100E-1,-6.866048574E-1
2.814388750E0,-2.232939720E0,-9.297645837E-2,-1.037283301E0
2.824345750E0,-2.464564085E0,6.608417034E-1,-1.480391502E0
