"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.202305667E0,-4.063551128E-1,9.294611216E-1,-5.783739686E-1
3.212263667E0,-2.515713871E-1,8.101027608E-1,-6.845134497E-1
3.222220667E0,-7.706910372E-2,6.988949776E-1,-7.016316652E-1
3.232177667E0,-8.922616392E-2,6.019623280E-1,-6.270205379E-1
3.242134667E0,-2.788596153E-1,3.258724809E-1,-4.700984359E-1
3.252091667E0,-5.628108978E-1,-7.706618309E-2,-3.121871054E-1
3.262048667E0,-7.766283751E-1,-3.781235516E-1,-1.702755839E-1
3.272006667E0,-8.274510503E-1,-4.683554471E-1,-7.219775021E-2
3.281963667E0,-8.241201639E-1,-4.451359212E-1,-3.698253632E-2
3.291920667E0,-8.067992330E-1,-3.674150407E-1,-3.763660789E-2
3.301877667E0,-7.602265477E-1,-2.577509582E-1,-6.972380728E-2
3.311834667E0,-7.241467834E-1,-2.261557579E-1,-1.502178460E-1
3.321792667E0,-6.257763505E-1,-2.566063702E-1,-2.439557016E-1
3.331749667E0,-4.519688487E-1,-2.161116898E-1,-3.411083221E-1
3.341706667E0,-3.268883824E-1,-1.171964630E-1,-4.380868673E-1
3.351663667E0,-2.275500745E-1,-2.906128019E-2,-5.737876892E-1
3.361620667E0,-4.980321508E-3,4.424256831E-2,-6.658465862E-1
3.371577667E0,2.841276526E-1,1.393136829E-1,-6.469953656E-1
3.381535667E0,4.700912237E-1,2.587041259E-1,-3.887158930E-1
3.391492667E0,5.587856770E-1,4.268403947E-1,-4.468952864E-2
3.401449667E0,5.855774879E-1,4.344048202E-1,2.504344285E-1
3.411406667E0,5.496863127E-1,2.873557210E-1,3.830747604E-1
3.421363667E0,5.203982592E-1,-3.993720748E-3,3.596383929E-1
3.431321667E0,5.298053026E-1,-3.992076218E-1,4.374495745E-1
3.441278667E0,4.879294634E-1,-7.366074324E-1,4.854304194E-1
3.451235667E0,4.623247683E-1,-7.686952949E-1,4.904659390E-1
3.461192667E0,5.352494717E-1,-5.431728363E-1,5.466033220E-1
3.471149667E0,5.984848738E-1,-3.735228479E-1,6.483704448E-1
3.481106667E0,6.026955247E-1,-3.915612698E-1,7.198836207E-1
3.491064667E0,5.188893080E-1,-4.691727161E-1,7.524974942E-1
3.501021667E0,4.015495181E-1,-5.119319558E-1,7.164718509E-1
3.510978667E0,3.044900894E-1,-5.342931747E-1,6.366240978E-1
3.520935667E0,2.074297220E-1,-3.954169452E-1,4.881016314E-1
3.530892667E0,1.697776765E-1,-3.591183126E-1,3.659394979E-1
3.540850667E0,2.004162073E-1,-4.304882288E-1,2.662429512E-1
3.550807667E0,2.966375351E-1,-5.635405779E-1,1.995568722E-1
3.560764667E0,4.470440745E-1,-7.047497034E-1,1.783350706E-1
3.570721667E0,6.130130887E-1,-7.776047587E-1,1.633907408E-1
3.580678667E0,7.165417671E-1,-8.068788052E-1,1.839713603E-1
3.590635667E0,6.971728206E-1,-8.649601936E-1,2.256660759E-1
3.600593667E0,6.327210069E-1,-9.655721188E-1,2.517244220E-1
3.610550667E0,5.770651698E-1,-1.006377578E0,2.642197013E-1
3.620507667E0,5.652402043E-1,-9.561873078E-1,2.472229898E-1
3.630464667E0,5.616678596E-1,-9.299359918E-1,1.836607903E-1
3.640421667E0,5.277628899E-1,-9.741966724E-1,6.584501266E-2
3.650378667E0,4.318960011E-1,-8.946523070E-1,-7.299649715E-2
3.660336667E0,3.046650887E-1,-5.717104673E-1,-1.784816384E-1
3.670293667E0,1.291470528E-1,-2.650003135E-1,-2.822128534E-1
3.680250667E0,-1.684770733E-2,-1.583397388E-1,-3.939821124E-1
3.690207667E0,-3.435958922E-2,-8.548097312E-2,-4.555727541E-1
3.700164125E0,-7.469749544E-3,6.031785160E-2,-4.450182021E-1
3.710122125E0,1.350797061E-2,4.999624193E-2,-3.959958255E-1
3.720079125E0,4.312891979E-3,1.103952378E-1,-2.763129771E-1
3.730036125E0,5.031047761E-2,1.954360902E-1,-1.245745793E-1
3.739993125E0,1.164472476E-1,5.103195459E-2,-2.643059380E-2
