"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.985339441E0,4.567186534E-2,-8.894696087E-2,-2.423405088E-2
2.995294545E0,6.165036187E-2,-7.935985923E-2,-4.660394415E-2
3.005175795E0,5.951989442E-2,-7.403369248E-2,-7.430000603E-2
3.015130847E0,5.525896326E-2,-6.338136643E-2,-1.051917598E-1
3.025086003E0,5.206326395E-2,-5.485950038E-2,-1.243659556E-1
3.035019389E0,5.632419512E-2,-6.018566713E-2,-1.318225861E-1
3.044974493E0,7.549838722E-2,-7.083799690E-2,-1.264964193E-1
3.054929597E0,1.053249165E-1,-7.296846062E-2,-1.137136221E-1
3.064839545E0,1.340862066E-1,-6.444659829E-2,-1.083874628E-1
3.074791368E0,1.596518010E-1,-5.912043154E-2,-9.880036116E-2
3.084743191E0,1.830869317E-1,-5.379426852E-2,-8.708280325E-2
3.094632149E0,1.873478591E-1,-4.101147130E-2,-8.708280325E-2
3.104583972E0,1.745650619E-1,-3.888100386E-2,-9.880036116E-2
3.114535795E0,1.585865617E-1,-3.888100386E-2,-1.147788614E-1
3.124451003E0,1.458037645E-1,-3.994623944E-2,-1.286268830E-1
3.134402826E0,1.372819096E-1,-5.059856921E-2,-1.360835135E-1
3.144354649E0,1.340862066E-1,-7.509893179E-2,-1.328878254E-1
3.154283191E0,1.489994675E-1,-8.149032295E-2,-1.126483902E-1
3.164235014E0,1.660431921E-1,-5.912043154E-2,-8.601756394E-2
3.174186837E0,1.788259894E-1,-2.609820850E-2,-7.110430300E-2
3.184091993E0,1.820216924E-1,-4.793548491E-3,-7.430000603E-2
3.194043816E0,1.809564531E-1,-1.438064594E-2,-1.051917598E-1
3.203995639E0,1.916087866E-1,-2.396774292E-2,-1.499315500E-1
3.213888868E0,2.001306564E-1,-4.527240247E-2,-1.829537749E-1
3.223840691E0,2.054568231E-1,-5.379426852E-2,-1.818885356E-1
3.233792514E0,2.203700840E-1,5.326165119E-4,-1.488663107E-1
3.243709441E0,2.416747361E-1,8.575125784E-2,-1.019960642E-1
3.253661264E0,2.331528813E-1,1.091863886E-1,-7.003907114E-2
3.263613087E0,1.926740259E-1,7.403369248E-2,-8.175663650E-2
3.273531576E0,1.553908736E-1,4.207670316E-2,-1.296921223E-1
3.283483399E0,1.383471340E-1,3.888100386E-2,-1.701709777E-1
3.293435222E0,1.458037645E-1,2.503297664E-2,-1.723014414E-1
3.303347670E0,1.734998226E-1,3.462007269E-2,-1.339530498E-1
