"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.884833338E0,-1.660831451E0,-2.625799477E-1,6.597787142E-1
2.894771567E0,-1.644852996E0,-1.011971384E-2,6.033213735E-1
2.904679848E0,-1.580938935E0,-3.781577200E-2,5.958647132E-1
2.914618078E0,-1.506372690E0,-1.656437367E-1,6.640396118E-1
2.924556359E0,-1.479741812E0,-1.784265339E-1,7.130403519E-1
2.934529588E0,-1.534068704E0,-1.326215118E-1,6.885399818E-1
2.944467817E0,-1.567090988E0,-2.647103965E-1,6.363435984E-1
2.954406046E0,-1.499981284E0,-4.905398190E-1,5.500596762E-1
2.964329588E0,-1.455241442E0,-6.567161679E-1,4.158403277E-1
2.974267765E0,-1.514894485E0,-7.856093645E-1,3.091838956E-1
2.984206046E0,-1.572417140E0,-8.250229955E-1,2.537917793E-1
2.994144744E0,-1.603308797E0,-6.375419497E-1,2.090519816E-1
3.004082973E0,-1.616091609E0,-4.724308550E-1,1.792254597E-1
3.014021203E0,-1.615026474E0,-4.234301150E-1,1.792254597E-1
3.023977817E0,-1.629939675E0,-3.254286945E-1,2.601831555E-1
3.033916046E0,-1.617156863E0,-3.030588031E-1,3.464670479E-1
3.043854276E0,-1.548982024E0,-3.403419554E-1,3.677717149E-1
3.053790994E0,-1.470154762E0,-2.924064696E-1,3.336842358E-1
3.063729223E0,-1.446719646E0,-2.892107666E-1,2.474003732E-1
3.073667453E0,-1.403045058E0,-3.264939189E-1,1.419423074E-1
3.083585786E0,-1.330609202E0,-2.508623898E-1,1.057243794E-1
3.093523911E0,-1.373218536E0,-2.396774292E-2,1.099853069E-1
3.103462088E0,-1.442458630E0,1.059906855E-1,9.613727778E-2
3.113412765E0,-1.495720267E0,7.935985923E-2,9.507204592E-2
3.123350890E0,-1.571351886E0,1.368824393E-1,1.046591476E-1
3.133289067E0,-1.604374051E0,2.327534109E-1,1.067896113E-1
3.143215421E0,-1.580938935E0,2.870802879E-1,1.504641622E-1
3.153153546E0,-1.512764096E0,2.870802879E-1,1.813559234E-1
3.163091723E0,-1.508503079E0,2.934716940E-1,1.419423074E-1
3.173048651E0,-1.498916030E0,2.359491140E-1,9.613727778E-2
3.182986776E0,-1.470154762E0,1.443390697E-1,3.328853101E-2
3.192924953E0,-1.458437204E0,1.592523307E-1,-4.021254554E-2
3.202857713E0,-1.468024254E0,1.528609395E-1,-3.488638252E-2
3.212795838E0,-1.463763356E0,1.890788674E-1,1.198387146E-2
3.222734015E0,-1.447784781E0,1.155777797E-1,2.583190054E-2
3.232652765E0,-1.458437204E0,7.935985923E-2,3.462007269E-3
3.242590890E0,-1.448850036E0,2.487319112E-1,4.527240526E-3
3.252529067E0,-1.399849296E0,2.561885417E-1,5.672365800E-2
3.262489484E0,-1.367892385E0,2.093182951E-1,8.974587917E-2
3.272427609E0,-1.377479434E0,3.733641803E-1,1.185071766E-1
3.282365786E0,-1.427545428E0,4.585828185E-1,1.430075318E-1
3.292301463E0,-1.458437204E0,2.711018026E-1,1.035939083E-1
3.302239588E0,-1.450980544E0,2.625799477E-1,3.009283356E-2
3.312177765E0,-1.428610682E0,3.414071798E-1,2.050573565E-2
3.322125994E0,-1.445654392E0,3.179720640E-1,6.950645149E-2
3.332064119E0,-1.447784781E0,1.837527007E-1,6.524552405E-2
3.342002348E0,-1.435002089E0,1.219691783E-1,3.861469775E-2
3.351911307E0,-1.431806326E0,1.603175700E-1,3.541899845E-2
3.361849432E0,-1.426480174E0,8.681648970E-2,3.754946589E-2
3.371787609E0,-1.380675197E0,1.006645188E-1,5.139749497E-2
3.381713078E0,-1.358305216E0,2.402100414E-1,1.025286764E-1
3.391651255E0,-1.361500978E0,3.424724042E-1,1.770949960E-1
3.401589432E0,-1.360435724E0,2.412752807E-1,1.994648874E-1
3.411547401E0,-1.344457269E0,2.806889117E-1,1.600512564E-1
3.421485526E0,-1.373218536E0,3.211677670E-1,8.974587917E-2
3.431423703E0,-1.370022774E0,1.581871063E-1,-4.979964346E-2
3.441359692E0,-1.328478694E0,1.304910481E-1,-1.552577168E-1
3.451297817E0,-1.307174087E0,1.773612946E-1,-1.701709777E-1
3.461235994E0,-1.254977703E0,7.935985923E-2,-1.957365721E-1
3.471187505E0,-1.202781200E0,5.059856921E-2,-2.447372824E-1
3.481125682E0,-1.161237121E0,1.262301207E-1,-1.669752747E-1
3.491063807E0,-1.117562652E0,1.358172148E-1,-9.880036116E-2
3.500982869E0,-1.096257925E0,2.380795777E-1,-1.318225861E-1
3.510921046E0,-1.072822809E0,4.010602236E-1,-1.499315500E-1
3.520859171E0,-1.002517462E0,3.818860352E-1,-9.240896255E-2
3.530802348E0,-9.471253157E-1,2.796236575E-1,-4.873441160E-2
3.540740473E0,-8.842765689E-1,3.062545061E-1,-4.021254554E-2
3.550678703E0,-7.905360460E-1,1.773612946E-1,-3.488638252E-2
3.560620109E0,-6.584471464E-1,-3.035914153E-2,-7.430000603E-2
3.570558234E0,-5.476629138E-1,-1.006645188E-1,-1.041265279E-1
3.580496411E0,-4.805532396E-1,-1.166430190E-1,-9.560466558E-2
3.590427609E0,-4.209001958E-1,-9.533835202E-2,-9.027849883E-2
3.600365734E0,-3.218335211E-1,-9.107742459E-2,-1.019960642E-1
3.610303911E0,-2.153102309E-1,-8.042509109E-2,-9.880036116E-2
3.620238755E0,-1.162435561E-1,-4.740286991E-2,-8.495233208E-2
3.630176932E0,-2.037258074E-2,-2.503297664E-2,-7.110430300E-2
3.640115109E0,6.804175675E-2,-6.924014539E-3,-5.406057462E-2
3.650057140E0,1.415428370E-1,-5.326165119E-4,-4.234301299E-2
3.659995265E0,2.214353085E-1,1.970681176E-2,-5.938674137E-2
3.669933442E0,3.141105771E-1,2.503297664E-2,-7.536523789E-2
3.679892192E0,4.067858756E-1,-2.663082443E-3,-7.962616533E-2
3.689830317E0,5.133091807E-1,-3.462007269E-2,-8.495233208E-2
3.699768494E0,6.102453470E-1,-5.592473224E-2,-9.347419441E-2
3.709706776E0,6.773550510E-1,-5.912043154E-2,-9.773512930E-2
3.719644848E0,7.710955739E-1,-4.101147130E-2,-9.773512930E-2
3.729583026E0,8.659012914E-1,-3.568530455E-2,-8.175663650E-2
