"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.282665786E0,-9.696913958E-1,-3.359523058E0,-8.391031265E0
3.292601463E0,-7.112665176E-1,-2.813361168E0,-8.587840080E0
3.302539588E0,-1.123430252E0,-2.065604210E0,-9.459425926E0
3.312477765E0,-1.741376638E0,-1.907677889E0,-9.895518303E0
3.322425994E0,-9.649057388E-1,-2.257628202E0,-9.445069313E0
3.332364119E0,-6.586244106E-1,-2.109273195E0,-9.632308006E0
3.342302348E0,-9.649057388E-1,-1.543968797E0,-1.029811001E1
3.352211307E0,-1.329213023E0,-1.596610904E0,-1.001994514E1
3.362149432E0,-1.813161373E0,-1.840678811E0,-1.007737255E1
3.372087609E0,-2.431107759E0,-2.051247120E0,-1.105962658E1
3.382013078E0,-2.555534601E0,-2.420340061E0,-1.090648556E1
3.391951255E0,-1.582852125E0,-2.956930637E0,-9.378069878E0
3.401889432E0,-4.713860750E-1,-2.751147747E0,-9.766305923E0
3.411847401E0,3.523431420E-1,-1.955534339E0,-1.111226845E1
3.421785526E0,1.334596872E0,-1.740180254E0,-1.049432182E1
3.431723703E0,8.075776696E-1,-1.203589797E0,-1.077727318E1
3.441659692E0,-6.394818425E-1,-8.392825127E-1,-1.173021507E1
3.451597817E0,-8.213363886E-1,-1.308874011E0,-1.101655579E1
3.461535994E0,-3.326023519E-1,-1.318445325E0,-1.144307613E1
3.471487505E0,-2.004587173E0,-8.919246197E-1,-1.176909828E1
3.481425682E0,-2.714059114E0,-5.569294691E-1,-1.099741268E1
3.491363807E0,-1.463211060E0,-4.851447940E-1,-1.126122189E1
3.501282869E0,-1.539781332E0,2.751746029E-2,-1.153400326E1
3.511221046E0,-2.675175667E0,5.018945336E-1,-1.106919765E1
3.521159171E0,-1.990230203E0,-3.840480447E-1,-1.170628643E1
3.531102348E0,-3.038884699E-1,-5.904290080E-1,-1.234397411E1
3.541040473E0,-5.024927482E-2,6.101697683E-2,-1.136650562E1
3.550978703E0,9.391828626E-2,8.374879137E-3,-1.003908730E1
3.560920109E0,-4.546362907E-2,4.492524564E-1,-1.070070267E1
3.570858234E0,-5.581258535E-1,1.000199914E0,-1.170150089E1
3.580796411E0,-8.165507317E-1,1.119840980E0,-1.217109203E1
3.590727609E0,-1.089930773E0,1.062413216E0,-1.197009563E1
3.600665734E0,-1.525424480E0,8.757730722E-1,-1.211366463E1
3.610603911E0,-1.511067510E0,4.923232496E-1,-1.233918858E1
3.620538755E0,-1.070788145E0,4.827519655E-1,-1.218544960E1
3.630476932E0,-7.399803996E-1,7.800601721E-1,-1.222852039E1
3.640415109E0,-7.591229677E-1,9.906286001E-1,-1.230568886E1
3.650357140E0,-5.485545993E-1,6.843472719E-1,-1.232004547E1
3.660295265E0,-3.182454109E-1,6.173482537E-1,-1.208973598E1
3.670233442E0,-4.043870270E-1,7.752745152E-1,-1.187916756E1
3.680192192E0,-3.613162339E-1,6.987041831E-1,-1.136650562E1
3.690130317E0,-4.283152521E-1,8.135597110E-1,-1.132343483E1
3.700068494E0,-8.404789567E-1,7.704889178E-1,-1.188395405E1
3.710006776E0,-1.338784218E0,7.226324677E-1,-1.165364456E1
3.719944848E0,-1.626521230E0,5.306084156E-1,-1.165843010E1
3.729883026E0,-1.582852125E0,2.913261652E-1,-1.175892830E1
3.739788234E0,-1.247856975E0,3.726821244E-1,-1.109312534E1
3.749726411E0,-9.409775138E-1,2.961117923E-1,-1.123729324E1
3.759664536E0,-9.888339639E-1,2.243271172E-1,-1.122712421E1
3.769632192E0,-9.840483069E-1,1.238285750E-1,-1.086341476E1
3.779570317E0,-1.070788145E0,-2.165504545E-1,-1.106441212E1
3.789508494E0,-1.276570916E0,-5.042873621E-1,-1.115055370E1
3.799433963E0,-1.424925923E0,-6.574280262E-1,-1.120319557E1
3.809372088E0,-1.477568030E0,-8.009973764E-1,-1.087298584E1
3.819310265E0,-1.429711580E0,-9.637092948E-1,-1.061874866E1
3.829249432E0,-1.286142230E0,-1.366301775E0,-1.103569794E1
